order_id,customer,email,department,quantity,unit_price,city,country,order_date,priority,fulfilled
2973,Jennifer Atkins,matthew97@example.com,Careers adviser,8035,9406320.39101,New Madisonburgh,AU,2026-04-14,6121,True
3121,Jocelyn Harvey,vpeterson@example.com,Radiation protection practitioner,7287,77594959.7785041,Codyshire,RO,2026-05-26,2672,False
5913,Kevin Cohen,phillip26@example.net,Database administrator,9565,44453070.5950096,Lake Monica,GY,2026-03-19,3085,True
6832,Michael Garcia,nelsonchristopher@example.com,"Civil engineer, contracting",4537,3615234040852.8,Phillipsshire,DJ,2026-02-11,9535,False
2664,Devin Marquez,rebecca90@example.net,Merchant navy officer,2781,28733525351416.5,East Mark,LU,2026-01-05,2056,False
9100,Max Ward,opeters@example.com,Toxicologist,8660,-943.568366233631,Port Justinbury,DK,2026-05-12,5779,True
5668,Michael Thomas,kristina55@example.net,Amenity horticulturist,5791,-30406851434.3254,Nicoleville,PW,2026-01-06,5061,True
4870,Brandi Davis,swillis@example.com,Recycling officer,2440,3665131.2806859,New Michaelport,HR,2026-04-07,843,False
1931,Sarah Romero,trichardson@example.net,Special educational needs teacher,7817,409.93052792756,Lake Ryanport,NZ,2026-05-04,3757,True
4227,Rebecca Roberts,hensleymaria@example.net,Paramedic,5855,-459.81778202868,Morenomouth,BA,2026-02-14,9295,True
8808,Bill Craig,anthony88@example.net,"Surveyor, minerals",5845,-21899971970.4554,Kruegerville,PY,2026-02-14,6708,True
2792,Maria Warner,thomas46@example.net,Conference centre manager,9899,-9735.83855492156,East Julia,FJ,2026-03-25,6677,False
6535,David White MD,melissa36@example.com,"Designer, textile",1467,43.2737045384474,Curtismouth,SO,2026-03-15,7898,False
5641,Lynn Steele,ealvarez@example.com,Comptroller,3593,310241719.529768,Port Danielshire,GW,2026-02-04,2158,False
1285,Robert Nguyen,david44@example.com,Prison officer,1764,-417749.640485608,Hannahmouth,SM,2026-01-27,8446,True
8776,David Schroeder,victorgonzalez@example.net,Exhibition designer,3631,-6422.97634055118,South Carloshaven,NZ,2026-01-19,2099,True
1164,Lindsey Cooper,matthew76@example.com,"Engineer, civil (contracting)",3144,6553.10087488065,North Carlland,GM,2026-02-24,2660,True
4882,Sharon Rice,khouse@example.com,"Nurse, children's",8346,43648887201590.1,Port Jamesburgh,TT,2026-04-07,7448,False
8339,Anthony Marshall,nwhite@example.com,Media buyer,2294,7264032147138.2,North Kylehaven,US,2026-04-14,1057,False
5282,Mitchell Gibson,brenda88@example.net,TEFL teacher,8952,-3710339498.88706,Sarahport,FM,2026-04-01,4533,True
1447,David Anderson,laurieskinner@example.net,Microbiologist,1910,-4363.4025185767,Debrabury,ET,2026-04-05,9610,True
9780,Andrew Joseph,milesdustin@example.org,Fashion designer,127,5156644.93436269,Taylorbury,SC,2026-04-20,9101,False
9330,Linda Conner,castrorichard@example.org,Regulatory affairs officer,2177,117276294421.74,Georgetown,TL,2026-02-21,6535,False
2820,Chase Cobb,ryan19@example.org,Early years teacher,6660,-97724039.8563807,Ricardomouth,BS,2026-03-01,3439,False
1610,Lisa Ramirez,hughesmichelle@example.net,Local government officer,8667,-470335090045.681,Toddland,VC,2026-03-09,1730,False
1429,Dr. James Roberts,mmccall@example.net,Occupational hygienist,5632,-183656.722608707,Lake Nancyfort,KP,2026-02-09,8938,False
5678,Scott Sandoval,parkclinton@example.net,Data scientist,2317,58.9690358366218,South Nicolechester,HR,2026-02-07,1900,False
